COUNTY,ST,COUNTY_STATE,SSACD,COUNTY DESIGNA-TION,Primary Care Distance
Yuma,CO,"Yuma, CO",06620,CEAC,60
Broomfield,CO,"Broomfield, CO",06630,Metro,10
Fairfield,CT,"Fairfield, CT",07000,Large Metro,5
Hartford,CT,"Hartford, CT",07010,Metro,10
Litchfield,CT,"Litchfield, CT",07020,Metro,10
Middlesex,CT,"Middlesex, CT",07030,Metro,10
New Haven,CT,"New Haven, CT",07040,Metro,10
New London,CT,"New London, CT",07050,Metro,10
Tolland,CT,"Tolland, CT",07060,Metro,10
Windham,CT,"Windham, CT",07070,Metro,10
Kent,DE,"Kent, DE",08000,Metro,10
New Castle,DE,"New Castle, DE",08010,Metro,10
Sussex,DE,"Sussex, DE",08020,Metro,10
District of Columbia,DC,"District of Columbia, DC",09000,Large Metro,5
Alachua,FL,"Alachua, FL",10000,Metro,10
Baker,FL,"Baker, FL",10010,Rural,30
Bay,FL,"Bay, FL",10020,Metro,10
Bradford,FL,"Bradford, FL",10030,Micro,20
Brevard,FL,"Brevard, FL",10040,Metro,10
Broward,FL,"Broward, FL",10050,Large Metro,5
Calhoun,FL,"Calhoun, FL",10060,Rural,30
Charlotte,FL,"Charlotte, FL",10070,Metro,10
Citrus,FL,"Citrus, FL",10080,Metro,10
Clay,FL,"Clay, FL",10090,Metro,10
Collier,FL,"Collier, FL",10100,Metro,10
Columbia,FL,"Columbia, FL",10110,Micro,20
Miami-Dade,FL,"Miami-Dade, FL",10120,Large Metro,5
DeSoto,FL,"DeSoto, FL",10130,Micro,20
Dixie,FL,"Dixie, FL",10140,Rural,30
Duval,FL,"Duval, FL",10150,Metro,10
Escambia,FL,"Escambia, FL",10160,Metro,10
Flagler,FL,"Flagler, FL",10170,Metro,10
Franklin,FL,"Franklin, FL",10180,Rural,30
Gadsden,FL,"Gadsden, FL",10190,Micro,20
Gilchrist,FL,"Gilchrist, FL",10200,Rural,30
Glades,FL,"Glades, FL",10210,Rural,30
Gulf,FL,"Gulf, FL",10220,Rural,30
Hamilton,FL,"Hamilton, FL",10230,Rural,30
Hardee,FL,"Hardee, FL",10240,Rural,30
Hendry,FL,"Hendry, FL",10250,Rural,30
Hernando,FL,"Hernando, FL",10260,Metro,10
Highlands,FL,"Highlands, FL",10270,Micro,20
Hillsborough,FL,"Hillsborough, FL",10280,Large Metro,5
Holmes,FL,"Holmes, FL",10290,Rural,30
Indian River,FL,"Indian River, FL",10300,Metro,10
Jackson,FL,"Jackson, FL",10310,Micro,20
Jefferson,FL,"Jefferson, FL",10320,Rural,30
Lafayette,FL,"Lafayette, FL",10330,Rural,30
Lake,FL,"Lake, FL",10340,Metro,10
Lee,FL,"Lee, FL",10350,Metro,10
Leon,FL,"Leon, FL",10360,Metro,10
Levy,FL,"Levy, FL",10370,Rural,30
Liberty,FL,"Liberty, FL",10380,CEAC,60
Madison,FL,"Madison, FL",10390,Rural,30
Manatee,FL,"Manatee, FL",10400,Metro,10
Marion,FL,"Marion, FL",10410,Metro,10
Martin,FL,"Martin, FL",10420,Metro,10
Monroe,FL,"Monroe, FL",10430,Micro,20
Nassau,FL,"Nassau, FL",10440,Metro,10
Okaloosa,FL,"Okaloosa, FL",10450,Metro,10
Okeechobee,FL,"Okeechobee, FL",10460,Micro,20
Orange,FL,"Orange, FL",10470,Large Metro,5
Osceola,FL,"Osceola, FL",10480,Metro,10
Palm Beach,FL,"Palm Beach, FL",10490,Metro,10
Pasco,FL,"Pasco, FL",10500,Metro,10
Pinellas,FL,"Pinellas, FL",10510,Large Metro,5
Polk,FL,"Polk, FL",10520,Metro,10
Putnam,FL,"Putnam, FL",10530,Micro,20
St. Johns,FL,"St. Johns, FL",10540,Metro,10
St. Lucie,FL,"St. Lucie, FL",10550,Metro,10
Santa Rosa,FL,"Santa Rosa, FL",10560,Metro,10
Sarasota,FL,"Sarasota, FL",10570,Metro,10
Seminole,FL,"Seminole, FL",10580,Metro,10
Sumter,FL,"Sumter, FL",10590,Metro,10
Suwannee,FL,"Suwannee, FL",10600,Micro,20
Taylor,FL,"Taylor, FL",10610,Rural,30
Union,FL,"Union, FL",10620,Micro,20
Volusia,FL,"Volusia, FL",10630,Metro,10
Wakulla,FL,"Wakulla, FL",10640,Micro,20
Walton,FL,"Walton, FL",10650,Micro,20
Washington,FL,"Washington, FL",10660,Rural,30
Appling,GA,"Appling, GA",11000,Rural,30
Atkinson,GA,"Atkinson, GA",11010,Rural,30
Bacon,GA,"Bacon, GA",11011,Rural,30
Baker,GA,"Baker, GA",11020,CEAC,60
Baldwin,GA,"Baldwin, GA",11030,Micro,20
Banks,GA,"Banks, GA",11040,Micro,20
Barrow,GA,"Barrow, GA",11050,Metro,10
Bartow,GA,"Bartow, GA",11060,Metro,10
Ben Hill,GA,"Ben Hill, GA",11070,Micro,20
Berrien,GA,"Berrien, GA",11080,Rural,30
Bibb,GA,"Bibb, GA",11090,Metro,10
Bleckley,GA,"Bleckley, GA",11100,Micro,20
Brantley,GA,"Brantley, GA",11110,Rural,30
Brooks,GA,"Brooks, GA",11120,Rural,30
Bryan,GA,"Bryan, GA",11130,Micro,20
Bulloch,GA,"Bulloch, GA",11140,Metro,15
Burke,GA,"Burke, GA",11150,Rural,30
Butts,GA,"Butts, GA",11160,Micro,20
Calhoun,GA,"Calhoun, GA",11161,Rural,30
Camden,GA,"Camden, GA",11170,Micro,20
Candler,GA,"Candler, GA",11180,Rural,30
Carroll,GA,"Carroll, GA",11190,Metro,10
Catoosa,GA,"Catoosa, GA",11200,Metro,10
Charlton,GA,"Charlton, GA",11210,Rural,30
Chatham,GA,"Chatham, GA",11220,Metro,10
Chattahoochee,GA,"Chattahoochee, GA",11230,Rural,30
Chattooga,GA,"Chattooga, GA",11240,Micro,20
Cherokee,GA,"Cherokee, GA",11250,Metro,10
Clarke,GA,"Clarke, GA",11260,Metro,10
Clay,GA,"Clay, GA",11270,Rural,30
Clayton,GA,"Clayton, GA",11280,Metro,10
Clinch,GA,"Clinch, GA",11281,CEAC,60
Cobb,GA,"Cobb, GA",11290,Large Metro,5
Coffee,GA,"Coffee, GA",11291,Micro,20
Colquitt,GA,"Colquitt, GA",11300,Micro,20
Columbia,GA,"Columbia, GA",11310,Metro,10
Cook,GA,"Cook, GA",11311,Micro,20
Coweta,GA,"Coweta, GA",11320,Metro,10
Crawford,GA,"Crawford, GA",11330,Rural,30
Crisp,GA,"Crisp, GA",11340,Micro,20
Dade,GA,"Dade, GA",11341,Micro,20
Dawson,GA,"Dawson, GA",11350,Micro,20
Decatur,GA,"Decatur, GA",11360,Rural,30
DeKalb,GA,"DeKalb, GA",11370,Large Metro,5
Dodge,GA,"Dodge, GA",11380,Rural,30
Dooly,GA,"Dooly, GA",11381,Rural,30
Dougherty,GA,"Dougherty, GA",11390,Metro,10
Douglas,GA,"Douglas, GA",11400,Metro,10
Early,GA,"Early, GA",11410,Rural,30
Echols,GA,"Echols, GA",11420,CEAC,60
Effingham,GA,"Effingham, GA",11421,Metro,10
Elbert,GA,"Elbert, GA",11430,Micro,20
Emanuel,GA,"Emanuel, GA",11440,Rural,30
Evans,GA,"Evans, GA",11441,Micro,20
Fannin,GA,"Fannin, GA",11450,Micro,20
Fayette,GA,"Fayette, GA",11451,Metro,10
Floyd,GA,"Floyd, GA",11460,Metro,10
Forsyth,GA,"Forsyth, GA",11461,Metro,10
Franklin,GA,"Franklin, GA",11462,Micro,20
Fulton,GA,"Fulton, GA",11470,Large Metro,5
Gilmer,GA,"Gilmer, GA",11471,Micro,20
Glascock,GA,"Glascock, GA",11480,Rural,30
Glynn,GA,"Glynn, GA",11490,Metro,10
Gordon,GA,"Gordon, GA",11500,Metro,10
Grady,GA,"Grady, GA",11510,Micro,20
Greene,GA,"Greene, GA",11520,Rural,30
Gwinnett,GA,"Gwinnett, GA",11530,Large Metro,5
Habersham,GA,"Habersham, GA",11540,Micro,20
Hall,GA,"Hall, GA",11550,Metro,10
Hancock,GA,"Hancock, GA",11560,Rural,30
Haralson,GA,"Haralson, GA",11570,Micro,20
Harris,GA,"Harris, GA",11580,Micro,20
Hart,GA,"Hart, GA",11581,Micro,20
Heard,GA,"Heard, GA",11590,Rural,30
Henry,GA,"Henry, GA",11591,Metro,10
Houston,GA,"Houston, GA",11600,Metro,10
Irwin,GA,"Irwin, GA",11601,Rural,30
Jackson,GA,"Jackson, GA",11610,Metro,10
Jasper,GA,"Jasper, GA",11611,Rural,30
Jeff Davis,GA,"Jeff Davis, GA",11612,Rural,30
Jefferson,GA,"Jefferson, GA",11620,Rural,30
Jenkins,GA,"Jenkins, GA",11630,Rural,30
Johnson,GA,"Johnson, GA",11640,Rural,30
Jones,GA,"Jones, GA",11650,Micro,20
Lamar,GA,"Lamar, GA",11651,Micro,20
Lanier,GA,"Lanier, GA",11652,Micro,20
Laurens,GA,"Laurens, GA",11660,Micro,20
Lee,GA,"Lee, GA",11670,Micro,20
Liberty,GA,"Liberty, GA",11680,Metro,10
Lincoln,GA,"Lincoln, GA",11690,Rural,30
Long,GA,"Long, GA",11691,Rural,30
Lowndes,GA,"Lowndes, GA",11700,Metro,10
Lumpkin,GA,"Lumpkin, GA",11701,Micro,20
McDuffie,GA,"McDuffie, GA",11702,Micro,20
McIntosh,GA,"McIntosh, GA",11703,Rural,30
Macon,GA,"Macon, GA",11710,Rural,30
Madison,GA,"Madison, GA",11720,Micro,20
Marion,GA,"Marion, GA",11730,Rural,30
Meriwether,GA,"Meriwether, GA",11740,Rural,30
