"GEOID","NAME","total_pop","total_black"
"21030","ZCTA5 21030",24396,3910
"21046","ZCTA5 21046",15655,3503
"21056","ZCTA5 21056",158,0
"21105","ZCTA5 21105",0,0
"21111","ZCTA5 21111",5387,12
"21122","ZCTA5 21122",61051,4175
"21161","ZCTA5 21161",5601,11
"21163","ZCTA5 21163",7030,1183
"21206","ZCTA5 21206",52020,38067
"24432","ZCTA5 24432",286,0
"24473","ZCTA5 24473",889,0
"24237","ZCTA5 24237",865,68
"24483","ZCTA5 24483",582,0
"24485","ZCTA5 24485",333,0
"24503","ZCTA5 24503",19349,2316
"24555","ZCTA5 24555",2245,217
"24563","ZCTA5 24563",5290,987
"24565","ZCTA5 24565",815,379
"24569","ZCTA5 24569",938,329
"24586","ZCTA5 24586",5819,759
"24465","ZCTA5 24465",1239,0
"24014","ZCTA5 24014",16605,1444
"24064","ZCTA5 24064",5046,70
"24065","ZCTA5 24065",6098,70
"24085","ZCTA5 24085",2139,202
"24086","ZCTA5 24086",113,12
"24105","ZCTA5 24105",468,0
"24018","ZCTA5 24018",38341,2238
"24059","ZCTA5 24059",853,0
"24072","ZCTA5 24072",1029,51
"24073","ZCTA5 24073",30710,1574
"24088","ZCTA5 24088",5472,560
"24102","ZCTA5 24102",1552,0
"24121","ZCTA5 24121",11145,370
"24124","ZCTA5 24124",4785,24
"24131","ZCTA5 24131",10,0
"24138","ZCTA5 24138",1618,0
"24139","ZCTA5 24139",359,44
"24142","ZCTA5 24142",2745,804
"24162","ZCTA5 24162",2381,64
"24179","ZCTA5 24179",18258,549
"24230","ZCTA5 24230",8092,169
"24053","ZCTA5 24053",2646,48
"24077","ZCTA5 24077",769,24
"24090","ZCTA5 24090",5028,102
"24091","ZCTA5 24091",7739,125
"24523","ZCTA5 24523",19711,2755
"24531","ZCTA5 24531",8818,2027
"24550","ZCTA5 24550",7272,675
"24557","ZCTA5 24557",7696,1739
"24577","ZCTA5 24577",4720,1493
"24590","ZCTA5 24590",7779,1267
"24598","ZCTA5 24598",1677,150
"24602","ZCTA5 24602",670,0
"24603","ZCTA5 24603",766,0
"24622","ZCTA5 24622",839,0
"24712","ZCTA5 24712",2264,135
"24733","ZCTA5 24733",583,0
"24818","ZCTA5 24818",1214,0
"24822","ZCTA5 24822",823,0
"24844","ZCTA5 24844",1178,0
"24851","ZCTA5 24851",654,0
"24504","ZCTA5 24504",9765,4471
"24517","ZCTA5 24517",4743,1414
"24522","ZCTA5 24522",9206,1381
"24529","ZCTA5 24529",2050,693
"24549","ZCTA5 24549",3805,368
"24553","ZCTA5 24553",1489,200
"26330","ZCTA5 26330",14760,154
"24521","ZCTA5 24521",9830,1142
"24526","ZCTA5 24526",1264,65
"24530","ZCTA5 24530",932,144
"24534","ZCTA5 24534",1208,525
"24536","ZCTA5 24536",286,0
"24539","ZCTA5 24539",80,56
"24566","ZCTA5 24566",1386,269
"24571","ZCTA5 24571",2310,323
"24363","ZCTA5 24363",1290,14
"24283","ZCTA5 24283",2130,0
"24319","ZCTA5 24319",7228,120
"24324","ZCTA5 24324",1853,110
"24370","ZCTA5 24370",6821,17
"24597","ZCTA5 24597",1151,334
"24981","ZCTA5 24981",351,54
"24962","ZCTA5 24962",114,0
"24963","ZCTA5 24963",3737,0
"24976","ZCTA5 24976",1075,0
"24888","ZCTA5 24888",68,3
"24977","ZCTA5 24977",447,0
"24313","ZCTA5 24313",917,0
"24314","ZCTA5 24314",1403,6
"24316","ZCTA5 24316",0,0
"24317","ZCTA5 24317",3903,33
"24318","ZCTA5 24318",599,0
"24352","ZCTA5 24352",839,0
"24366","ZCTA5 24366",548,0
"24019","ZCTA5 24019",27722,3159
"24054","ZCTA5 24054",6367,1744
"24055","ZCTA5 24055",12402,1505
"24069","ZCTA5 24069",1644,634
"24070","ZCTA5 24070",1827,2
"24087","ZCTA5 24087",3789,78
"24089","ZCTA5 24089",2440,654
"24128","ZCTA5 24128",1948,0
"24151","ZCTA5 24151",20436,2733
"24167","ZCTA5 24167",206,0
"24171","ZCTA5 24171",8327,670
"24211","ZCTA5 24211",10032,13
"24217","ZCTA5 24217",278,0
"24219","ZCTA5 24219",11393,1081
"24250","ZCTA5 24250",1309,0
"24260","ZCTA5 24260",5340,65
"24263","ZCTA5 24263",5875,10
"24269","ZCTA5 24269",390,0
"24127","ZCTA5 24127",3860,6
"24133","ZCTA5 24133",2258,81
"24011","ZCTA5 24011",518,24
"24013","ZCTA5 24013",8478,1544
"24556","ZCTA5 24556",3218,137
"24520","ZCTA5 24520",2261,699
"24528","ZCTA5 24528",3126,964
"24551","ZCTA5 24551",25625,1766
"24592","ZCTA5 24592",13342,5837
"24609","ZCTA5 24609",7136,16
"24380","ZCTA5 24380",2696,64
"24416","ZCTA5 24416",8756,472
"24426","ZCTA5 24426",13451,955
"26161","ZCTA5 26161",604,0
"24441","ZCTA5 24441",6190,77
"24459","ZCTA5 24459",728,0
"24467","ZCTA5 24467",2363,37
"23696","ZCTA5 23696",3696,21
"23707","ZCTA5 23707",14685,6703
"23821","ZCTA5 23821",2016,1104
"23827","ZCTA5 23827",1491,596
"23830","ZCTA5 23830",1565,342
"23833","ZCTA5 23833",2216,216
"23850","ZCTA5 23850",1211,415
"23851","ZCTA5 23851",13437,6305
"23890","ZCTA5 23890",4396,2616
"23302","ZCTA5 23302",162,0
"23307","ZCTA5 23307",704,459
"23336","ZCTA5 23336",2899,12
"23150","ZCTA5 23150",12862,3465
"23220","ZCTA5 23220",34934,11149
"23222","ZCTA5 23222",27212,21037
"23230","ZCTA5 23230",6871,881
"23294","ZCTA5 23294",18091,3455
"23301","ZCTA5 23301",1721,414
"23321","ZCTA5 23321",36212,12244
"23347","ZCTA5 23347",730,110
"23409","ZCTA5 23409",158,0
"23417","ZCTA5 23417",3438,892
"23960","ZCTA5 23960",1541,771
"23962","ZCTA5 23962",830,213
"23963","ZCTA5 23963",88,40
"23079","ZCTA5 23079",409,45
"23084","ZCTA5 23084",1897,354
"23092","ZCTA5 23092",568,122
"23108","ZCTA5 23108",89,23
"23115","ZCTA5 23115",49,47
"23038","ZCTA5 23038",1513,385
"23146","ZCTA5 23146",3257,223
"23022","ZCTA5 23022",917,401
"23024","ZCTA5 23024",8502,879
"23091","ZCTA5 23091",245,43
"23103","ZCTA5 23103",5525,525
"23109","ZCTA5 23109",2084,330
"23110","ZCTA5 23110",385,34
"23113","ZCTA5 23113",25021,1706
"23129","ZCTA5 23129",767,81
"23188","ZCTA5 23188",44499,6190
"23192","ZCTA5 23192",6903,844
"23233","ZCTA5 23233",31605,2200
"23234","ZCTA5 23234",44783,22122
"23237","ZCTA5 23237",24711,6728
"23303","ZCTA5 23303",587,150
"23011","ZCTA5 23011",1345,400
"23032","ZCTA5 23032",413,29
"23337","ZCTA5 23337",430,0
"23310","ZCTA5 23310",4351,1113
"23356","ZCTA5 23356",1187,0
"23357","ZCTA5 23357",747,500
"23358","ZCTA5 23358",89,0
"23413","ZCTA5 23413",639,349
"23434","ZCTA5 23434",49625,24542
"27020","ZCTA5 27020",6205,64
"26348","ZCTA5 26348",108,0
"26349","ZCTA5 26349",111,0
"26354","ZCTA5 26354",10477,143
"26384","ZCTA5 26384",695,0
"26405","ZCTA5 26405",1276,0
"26438","ZCTA5 26438",79,0
"26448","ZCTA5 26448",1695,0
"26585","ZCTA5 26585",449,0
"26662","ZCTA5 26662",1075,0
"26678","ZCTA5 26678",896,0
"26036","ZCTA5 26036",468,0
"26101","ZCTA5 26101",29122,922
"26138","ZCTA5 26138",183,11
"26148","ZCTA5 26148",401,0
"26164","ZCTA5 26164",7818,0
"26181","ZCTA5 26181",6300,0
"26205","ZCTA5 26205",3572,0
"26208","ZCTA5 26208",829,2
"26209","ZCTA5 26209",242,0
"26228","ZCTA5 26228",15,0
"26261","ZCTA5 26261",2692,41
"26337","ZCTA5 26337",1369,0
"26339","ZCTA5 26339",299,0
"26342","ZCTA5 26342",195,0
"26376","ZCTA5 26376",529,0
"26377","ZCTA5 26377",766,8
"26404","ZCTA5 26404",535,106
"26075","ZCTA5 26075",446,5
"26104","ZCTA5 26104",15808,143
