ZCTA,policeviolence_harmonicmean_pop,policeviolence_harmonicmean_black
2468,5.06E-07,0
2472,5.06E-07,0
2474,5.06E-07,0
2476,5.06E-07,0
2478,5.06E-07,0
2481,1.15E-06,4.35E-06
2482,1.15E-06,4.35E-06
2492,1.15E-06,4.35E-06
2493,5.06E-07,0
2494,1.15E-06,4.35E-06
2532,5.53E-07,0
2534,0,0
2535,0,0
2536,0,0
2537,0,0
2538,7.86E-07,0
2539,0,0
2540,0,0
2542,0,0
2543,0,0
2553,0,0
2554,0,0
2556,0,0
2557,0,0
2558,7.86E-07,0
2559,0,0
2561,0,0
2562,0,0
2563,0,0
2564,0,0
2568,0,0
2571,7.86E-07,0
2575,0,0
2576,7.86E-07,0
2584,0,0
2601,0,0
2630,0,0
2631,0,0
2632,0,0
2633,0,0
2635,0,0
2637,0,0
2638,0,0
2639,0,0
2641,0,0
2642,0,0
2643,0,0
2644,0,0
2645,0,0
2646,0,0
2647,0,0
2648,0,0
2649,0,0
2650,0,0
2651,0,0
2652,0,0
2653,0,0
2655,0,0
2657,0,0
2659,0,0
2660,0,0
2663,0,0
2664,0,0
2666,0,0
2667,0,0
2668,0,0
2669,0,0
2670,0,0
2671,0,0
2672,0,0
2673,0,0
2675,0,0
2702,1.08E-06,9.15E-06
2703,1.08E-06,9.15E-06
2713,0,0
2715,1.08E-06,9.15E-06
2717,1.08E-06,9.15E-06
2718,1.08E-06,9.15E-06
2719,1.08E-06,9.15E-06
2720,2.88E-06,9.15E-06
2721,1.08E-06,9.15E-06
2723,1.08E-06,9.15E-06
2724,3.36E-06,9.15E-06
2725,1.08E-06,9.15E-06
2726,1.08E-06,9.15E-06
2738,7.86E-07,0
2739,7.86E-07,0
2740,1.08E-06,9.15E-06
2743,1.08E-06,9.15E-06
2744,1.08E-06,9.15E-06
2745,1.08E-06,9.15E-06
2746,1.08E-06,9.15E-06
2747,1.08E-06,9.15E-06
2748,1.08E-06,9.15E-06
2760,1.08E-06,9.15E-06
2762,1.15E-06,4.35E-06
2763,1.08E-06,9.15E-06
2764,1.08E-06,9.15E-06
2766,1.08E-06,9.15E-06
2767,1.08E-06,9.15E-06
2769,1.08E-06,9.15E-06
2770,7.86E-07,0
2771,1.08E-06,9.15E-06
2777,1.08E-06,9.15E-06
2779,1.08E-06,9.15E-06
2780,2.38E-06,2.38E-05
2790,1.08E-06,9.15E-06
2791,1.08E-06,9.15E-06
2802,9.47E-07,6.54E-06
2804,0,0
2806,0,0
2807,0,0
2808,0,0
2809,0,0
2812,0,0
2813,0,0
2814,9.47E-07,6.54E-06
2815,9.47E-07,6.54E-06
2816,7.52E-07,6.27E-06
2817,0,0
2818,0,0
2822,0,0
2825,9.47E-07,6.54E-06
2826,9.47E-07,6.54E-06
2827,0,0
