zcta,adult_population,presidential_votes,voter_percent_of_population
35747,4343,3119,0.718167166
35748,5632,3875,0.68803267
35749,16996,14518,0.854200988
35750,10412,7067,0.678736074
35751,225,155,0.688888889
35752,2138,935,0.437324602
35754,4206,2339,0.556110319
35755,434,401,0.923963134
35756,9565,11036,1
35757,12703,8979,0.706840904
35758,35594,25598,0.719166152
35759,6237,4785,0.767195767
35760,3781,2508,0.663316583
35761,9541,6897,0.722880201
35763,14210,12281,0.864250528
35764,445,301,0.676404494
35765,3002,1848,0.615589607
35766,140,86,0.614285714
35768,9063,5076,0.560079444
35769,7834,4195,0.535486342
35771,2985,1706,0.571524288
35772,3531,1890,0.535259133
35773,9714,7387,0.760448837
35774,185,69,0.372972973
35775,884,276,0.312217195
35776,2993,1732,0.578683595
35801,19417,12560,0.646855848
35802,17917,12782,0.713400681
35803,20827,15673,0.75253277
35805,15238,6619,0.43437459
35806,19290,12337,0.639554173
35808,1026,1186,1
35810,23019,13387,0.581563057
35811,21264,14701,0.691356283
35816,11526,5211,0.452108277
35824,6601,4435,0.671867899
35896,689,258,0.374455733
35901,15518,8360,0.538729218
35903,14204,7099,0.499788792
35904,10782,5783,0.536356891
35905,4886,3401,0.696070405
35906,7548,4910,0.650503445
35907,6835,5254,0.768690563
35950,14259,6936,0.486429623
35951,9427,4361,0.462607404
35952,6007,3600,0.599300816
35953,5890,4090,0.694397284
35954,9112,5685,0.623902546
35956,6994,4210,0.601944524
35957,11674,6164,0.528010965
35958,2767,1545,0.558366462
35959,3690,2314,0.627100271
35960,7899,4692,0.59399924
35961,5322,2410,0.452837279
35962,6484,2815,0.434145589
35963,1023,810,0.791788856
35966,3445,1775,0.515239478
35967,12115,6605,0.545191911
35968,3871,1919,0.495737536
35971,4337,2146,0.494812082
35972,933,637,0.682743837
35973,2208,1342,0.607789855
35974,1265,714,0.564426877
35975,511,547,1
35976,13993,7943,0.567640963
35978,3854,2514,0.652309289
35979,1049,656,0.625357483
35980,3946,2053,0.520273695
35981,1409,974,0.691270405
35983,2955,1833,0.620304569
35984,1361,1098,0.806759735
35986,6017,3810,0.633205917
35987,1901,1372,0.721725408
35988,1621,809,0.499074645
35989,2746,1496,0.544792425
35990,57,18,0.315789474
36003,1688,1124,0.665876777
36005,1130,863,0.763716814
36006,938,639,0.681236674
36009,1929,1304,0.675997926
36010,3866,2300,0.59493016
36013,478,502,1
36016,4274,1590,0.372016846
36017,2430,762,0.313580247
36020,776,641,0.826030928
36022,9922,7011,0.70661157
36024,4200,3514,0.836666667
36025,5631,1901,0.337595454
36026,925,598,0.646486486
36027,11226,6904,0.615000891
36028,1186,883,0.744519393
36029,873,464,0.531500573
36030,476,218,0.457983193
36031,165,72,0.436363636
36032,1887,1200,0.635930048
36033,3312,2053,0.61986715
36034,825,403,0.488484848
36035,1250,1005,0.804
36036,1453,1107,0.761871989
36037,9983,6139,0.614945407
36038,44,33,0.75
36039,222,113,0.509009009
36040,2666,2336,0.876219055
36041,1028,657,0.639105058
36042,1544,785,0.508419689
36043,2967,2071,0.698011459
36046,1117,779,0.69740376
36047,789,966,1
36048,1244,638,0.512861736
36049,4616,2522,0.546360485
36051,1695,1214,0.716224189
36052,343,609,1
36053,1277,1000,0.783085356
36054,11492,7642,0.664984337
36064,7252,4715,0.650165472
36066,14967,9774,0.653036681
36067,20773,13127,0.631926058
36069,1753,1172,0.668568169
36071,397,342,0.861460957
36075,1723,1204,0.698781196
36078,9765,6744,0.6906298
36079,7665,4259,0.555642531
36080,2002,1443,0.720779221
36081,12868,5763,0.447855145
36082,1116,481,0.431003584
36083,5936,3799,0.639993261
36088,4081,1322,0.323940211
36089,6103,3361,0.550712764
36091,2890,1676,0.579930796
36092,15979,9580,0.599536892
36093,7898,5771,0.730691314
36104,6923,2909,0.420193558
36105,7421,5248,0.70718232
36106,11969,6889,0.575570223
36107,5605,2735,0.487957181
36108,13912,7898,0.567711328
36109,20001,11330,0.566471676
36110,8740,4871,0.557322654
36111,9422,5819,0.617597113
36112,309,108,0.349514563
36113,1414,373,0.263790665
36115,664,291,0.438253012
36116,32417,16936,0.522441929
36117,41284,24232,0.586958628
36201,13762,7039,0.511480889
36203,13792,8502,0.616444316
36205,871,172,0.197474168
36206,8781,4542,0.51725316
36207,15300,9296,0.607581699
36250,3720,2434,0.654301075
36251,3701,2398,0.647932991
36255,712,543,0.762640449
36256,1247,913,0.732157177
36258,1211,920,0.759702725
36260,3280,1924,0.586585366
36262,967,684,0.707342296
36263,394,291,0.73857868
36264,6415,4275,0.666406859
36265,16561,8842,0.533904957
36266,4530,2658,0.586754967
36267,7,18,1
36268,4160,2648,0.636538462
36269,1115,646,0.579372197
36271,4671,2987,0.639477628
36272,10273,6169,0.600506181
36273,2530,1300,0.513833992
36274,8826,4916,0.556990709
36276,2022,1172,0.579624135
36277,4281,2592,0.605466013
36278,3430,2219,0.646938776
36279,1969,1287,0.653631285
36280,3294,2208,0.670309654
36301,28513,14872,0.521586645
36303,23633,12956,0.548216477
