"STCNTY","Num_Alt_Services","Num_Mainstream_Services","Financial_Accessibility_County"
"42017",110,33,-77
"42091",168,57,-111
"42089",16,7,-9
"42103",3,1,-2
"42069",31,11,-20
"42127",6,10,4
"42115",4,1,-3
"42131",3,4,1
"42045",74,32,-42
"42101",198,75,-123
"11001",91,103,12
"51107",53,11,-42
"51047",15,2,-13
"51061",4,2,-2
"51157",0,0,-1791
"51153",77,14,-63
"51683",7,5,-2
"51685",0,0,-1791
"51059",198,60,-138
"51043",0,0,-1791
"54037",3,2,-1
"24027",42,14,-28
"24031",144,46,-98
"24021",30,8,-22
"24013",20,2,-18
"24510",85,21,-64
"24001",6,23,17
"24023",0,5,5
"24011",3,2,-1
"24043",54,13,-41
"24045",15,6,-9
"51600",13,12,-1
"51610",10,2,-8
"51013",32,15,-17
"51179",17,5,-12
"51510",18,18,0
"51630",9,4,-5
"51177",26,4,-22
"51033",0,0,-1791
"51137",0,3,3
"51159",0,1,1
"51193",3,3,0
"51057",3,0,-3
"51097",0,0,-1791
"51099",3,4,1
"51085",16,3,-13
"51069",4,3,-1
"51840",12,1,-11
"51139",0,3,3
"51187",9,3,-6
"51171",3,1,-2
"51113",0,1,1
"51165",4,3,-1
"51660",22,11,-11
"51015",0,5,5
"51003",17,5,-12
"51540",7,6,-1
"51065",0,1,1
"51125",0,1,1
"51009",4,2,-2
"51079",0,1,1
"51109",3,3,0
"51820",8,5,-3
"51007",0,0,-1791
"51135",0,1,1
"51029",0,1,1
"51101",0,1,1
"51127",0,1,1
"51049",0,1,1
"51036",0,0,-1791
"51087",71,20,-51
"51075",0,1,1
"51073",5,4,-1
"51095",4,6,2
"51041",48,24,-24
"51145",0,2,2
"51760",53,17,-36
"51830",3,4,1
"51093",0,2,2
"51550",66,22,-44
"51740",29,10,-19
"51800",19,12,-7
"51181",0,1,1
"51700",49,22,-27
"51149",0,3,3
"51053",0,0,-1791
"51730",9,2,-7
"51025",0,1,1
"51111",0,1,1
"51175",0,1,1
"51183",0,2,2
"51570",20,3,-17
"51081",0,1,1
"51595",4,1,-3
"51620",0,2,2
"51670",4,4,0
"51147",7,1,-6
"51117",7,6,-1
"51037",0,1,1
"51011",0,1,1
"51083",4,4,0
"51031",6,4,-2
"51770",36,18,-18
"51023",0,2,2
"51161",10,14,4
"51035",0,1,1
"51141",0,1,1
"51089",10,2,-8
"51143",0,1,1
"51067",0,4,4
"51155",7,2,-5
"51121",15,4,-11
"51019",3,4,1
"51163",0,1,1
"51045",3,0,-3
"51063",0,1,1
"51021",0,1,1
