"ZCTA","third_spaces_total","population","thirdspaces_pop"
"02538",26,4129,629.692419472027
"02539",69,4358,1583.29508949059
"02540",100,8241,1213.4449702706
"02542",6,948,632.911392405063
"02543",13,680,1911.76470588235
"02553",0,96,0
"02554",172,11023,1560.37376394811
"02556",18,2554,704.776820673453
"02557",48,4701,1021.05934907467
"02558",9,1632,551.470588235294
"02559",15,3228,464.684014869888
"02561",3,257,1167.31517509728
"02562",8,2814,284.292821606254
"02563",58,9728,596.217105263158
"02564",6,189,3174.60317460317
"02568",66,4132,1597.2894482091
"02571",54,10858,497.329158224351
"02575",15,2197,682.749203459263
"02576",6,4171,143.850395588588
"02584",0,0,0
"02601",258,14939,1727.02322779302
"02630",11,1892,581.395348837209
"02631",45,9565,470.465237846315
"02632",44,11105,396.217919855921
"02633",53,4040,1311.88118811881
"02635",0,2826,0
"02637",0,184,0
"02638",20,3028,660.501981505945
"02639",34,3147,1080.39402605656
"02641",4,202,1980.19801980198
"02642",19,4873,389.903550174431
"02643",3,0,0
"02644",14,3744,373.931623931624
"02645",33,9730,339.157245632066
"02646",31,1715,1807.58017492711
"02647",3,121,2479.33884297521
"02648",17,6833,248.79262403044
"02649",87,14204,612.503520135173
"02650",0,865,0
"02652",5,710,704.225352112676
"02653",78,5865,1329.92327365729
"02655",34,3100,1096.77419354839
"02657",103,2972,3465.67967698519
"02659",3,992,302.41935483871
"02660",40,6336,631.313131313131
"02663",4,106,3773.58490566038
"02664",66,8565,770.577933450088
"02666",4,366,1092.89617486339
"02667",29,3556,815.523059617548
"02668",9,2696,333.827893175074
"02670",10,1190,840.336134453781
"02671",6,940,638.297872340425
"02672",0,261,0
"02673",40,8875,450.704225352113
"02675",33,6392,516.270337922403
"02702",8,4450,179.775280898876
"02703",160,45023,355.373919996446
"02713",0,37,0
"02715",8,3934,203.355363497712
"02717",12,4914,244.200244200244
"02718",5,6748,74.0960284528749
"02719",91,16072,566.202090592335
"02720",121,30579,395.69639294941
"02721",153,25826,592.426237125378
"02723",42,15340,273.794002607562
"02724",49,17506,279.904032903005
"02725",6,2647,226.67170381564
"02726",61,15513,393.218590859279
"02738",20,5148,388.500388500389
"02739",29,6374,454.973329149671
"02740",191,43444,439.64644139582
"02743",38,10589,358.862971007649
"02744",34,11695,290.722530996152
"02745",99,24836,398.614913834756
"02746",76,15283,497.284564548845
"02747",128,23051,555.290442930892
"02748",58,11212,517.30288976097
"02760",122,27615,441.788882853522
"02762",47,9227,509.374661320039
"02763",3,1666,180.072028811525
"02764",3,3911,76.7067246228586
"02766",68,19874,342.155580154976
"02767",101,14626,690.551073430876
"02769",31,12285,252.340252340252
"02770",7,5461,128.181651712141
"02771",108,15613,691.731249599693
"02777",72,16692,431.344356578001
"02779",10,6801,147.037200411704
"02780",198,50299,393.645996938309
"02790",63,15879,396.750425089741
"02791",0,373,0
"02802",0,501,0
"02804",10,2005,498.753117206983
"02806",66,16106,409.785173227369
"02807",47,871,5396.09644087256
"02808",3,2466,121.654501216545
"02809",111,22095,502.376103190767
"02812",0,1300,0
"02813",30,7832,383.043922369765
"02814",12,8033,149.383791858583
"02815",0,150,0
"02816",96,32683,293.730685677569
"02817",8,6297,127.044624424329
"02818",146,18790,777.00904736562
"02822",21,6018,348.953140578265
"02823",,,
"02824",,,
"02825",0,5964,0
"02826",0,382,0
"02827",0,2194,0
"02828",36,7528,478.214665249734
"02829",,,
"02830",20,5624,355.618776671408
"02831",5,3725,134.228187919463
"02832",8,4713,169.743263314237
"02833",0,932,0
"02835",23,5494,418.638514743356
"02836",0,165,0
"02837",18,3496,514.87414187643
"02838",3,3521,85.2030673104232
"02839",0,2100,0
"02840",273,22976,1188.19637883008
"02841",0,1792,0
"02842",117,15931,734.417174063147
"02852",122,21653,563.432318847273
"02857",28,7969,351.361525912912
"02858",0,613,0
"02859",11,7992,137.637637637638
"02860",182,47175,385.797562268151
"02861",92,24764,371.507026328541
"02863",51,19437,262.386170705356
"02864",135,34936,386.420883901992
"02865",93,17876,520.25061535019
"02871",70,17108,409.165302782324
"02872",0,204,0
"02873",0,130,0
"02874",16,6620,241.691842900302
"02875",0,439,0
"02876",6,577,1039.86135181976
"02878",62,15730,394.151303242212
"02879",121,20851,580.307898901731
"02881",39,7593,513.630975898854
"02882",88,14204,619.543790481555
"02885",81,10451,775.045450196154
"02886",264,29443,896.647760078796
"02888",86,17901,480.420088263226
"02889",101,27531,366.859176927827
"02891",177,21196,835.063219475373
"02892",9,5502,163.576881134133
"02893",100,29283,341.495065396305
"02894",0,512,0
"02895",146,41616,350.826605151865
"02896",31,11901,260.482312410722
"02898",20,1137,1759.01495162709
"02903",392,11443,3425.67508520493
"02904",157,29881,525.417489374519
"02905",111,26020,426.594926979247
"02906",204,28254,722.02166064982
"02907",148,31277,473.19116283531
"02908",120,37792,317.527519051651
"02909",178,40286,441.840838008241
"02910",118,21746,542.628529384714
"02911",43,15627,275.1647789083
"02912",0,1279,0
"02914",139,21720,639.963167587477
"02915",49,16423,298.362053218048
"02916",27,9292,290.572535514421
"02917",94,14260,659.186535764376
"02918",,,
"02919",162,29312,552.674672489083
"02920",234,36695,637.68905845483
"02921",22,12463,176.522506619594
"03031",59,11484,513.758272378962
"03032",9,5514,163.220892274211
"03033",7,5394,129.773822766036
"03034",4,4088,97.8473581213307
"03036",3,5191,57.7923328838374
"03037",7,4363,160.440064176026
"03038",137,33705,406.467883103397
"03042",49,6989,701.10173129203
"03043",0,1574,0
"03044",4,4695,85.1970181043663
"03045",35,13766,254.249600464914
"03046",0,2846,0
"03047",0,1828,0
"03048",9,3564,252.525252525253
"03049",12,7973,150.507964379782
"03051",90,25543,352.347022667658
"03052",8,8560,93.4579439252336
"03053",93,26028,357.307514983864
"03054",110,26314,418.028425932963
"03055",76,15906,477.807116811266
"03057",0,2662,0
"03060",244,30092,810.846736674199
"03062",56,28550,196.14711033275
"03063",122,16126,756.542229939229
"03064",42,14284,294.035284234108
"03070",6,5781,103.788271925272
"03071",6,5373,111.669458403127
"03076",32,13991,228.718461868344
"03077",31,10407,297.876429326415
"03079",218,29633,735.666317956332
"03082",0,1706,0
"03084",0,1250,0
"03086",8,3915,204.342273307791
"03087",57,14694,387.913434054716
"03101",148,2834,5222.30063514467
"03102",101,33951,297.487555594828
"03103",231,36831,627.189052700171
"03104",117,32776,356.968513546497
"03106",94,14375,653.913043478261
"03109",34,10409,326.640407339802
"03110",106,22710,466.754733597534
"03215",7,230,3043.47826086957
"03216",3,2494,120.288692862871
"03217",11,2237,491.729995529727
"03218",0,1070,0
"03220",20,7566,264.340470526038
"03221",3,1922,156.087408949011
"03222",25,5895,424.088210347752
"03223",13,3382,384.387936132466
"03224",3,2402,124.895920066611
"03225",3,3573,83.9630562552477
"03226",6,881,681.044267877412
"03227",0,1126,0
"03229",11,5746,191.437521754264
"03230",0,1445,0
"03231",0,226,0
"03233",0,334,0
"03234",13,4767,272.708202223621
"03235",22,8793,250.199021949278
"03237",0,2082,0
"03238",0,95,0
"03240",0,1293,0
"03241",0,908,0
"03242",18,4966,362.46476037052
"03243",0,809,0
"03244",22,7589,289.893266570036
"03245",6,2093,286.669851887243
"03246",127,16573,766.306643335546
"03249",44,7213,610.009704699847
"03251",51,1270,4015.74803149606
"03253",40,6410,624.02496099844
"03254",27,4149,650.759219088937
"03255",5,1852,269.978401727862
"03256",3,2450,122.448979591837
"03257",34,4179,813.591768365638
"03258",5,2689,185.942729639271
"03259",0,407,0
"03260",0,1012,0
"03261",15,4337,345.861194373991
"03262",9,1170,769.230769230769
"03263",15,4114,364.608653378707
"03264",60,7249,827.700372465168
"03266",8,2023,395.452298566485
"03268",0,1452,0
"03269",0,2920,0
"03273",0,357,0
"03275",23,11652,197.391005835908
"03276",53,8289,639.401616600314
"03278",12,2978,402.955003357958
"03279",4,639,625.978090766823
"03280",3,1057,283.822138126774
"03281",11,9058,121.439611393244
"03282",0,1089,0
"03284",0,996,0
"03285",0,2516,0
"03287",0,1444,0
"03290",0,5036,0
"03291",0,92,0
"03293",0,156,0
"03301",387,33550,1153.50223546945
"03303",29,15984,181.431431431431
"03304",12,7958,150.791656195024
"03307",9,5591,160.972992309068
"03431",175,24849,704.253692301501
"03440",3,3036,98.8142292490118
"03441",0,163,0
"03442",0,1684,0
"03443",0,235,0
"03444",3,1553,193.174500965873
"03445",0,700,0
"03446",11,6375,172.549019607843
"03447",3,2324,129.087779690189
"03448",0,749,0
"03449",4,1715,233.236151603499
"03450",0,882,0
"03451",4,3905,102.432778489117
"03452",29,5275,549.763033175355
"03455",0,2524,0
"03456",0,788,0
"03457",0,709,0
"03458",59,7111,829.700464069751
"03461",16,6100,262.295081967213
"03462",0,1388,0
"03464",0,977,0
"03465",0,1734,0
"03466",0,2002,0
"03467",0,2023,0
"03470",7,5138,136.239782016349
"03561",56,5920,945.945945945946
"03570",38,10025,379.052369077307
"03574",3,2591,115.785411038209
"03575",0,52,0
"03576",14,2718,515.084621044886
"03579",4,341,1173.02052785924
"03580",8,1419,563.777307963354
"03581",28,3190,877.742946708464
"03582",3,2077,144.439094848339
"03583",0,942,0
"03584",13,3570,364.145658263305
"03585",0,2556,0
"03586",0,605,0
"03588",0,1535,0
"03590",0,1173,0
"03592",3,1147,261.5518744551
"03593",0,384,0
"03595",3,721,416.088765603329
"03597",0,490,0
"03598",9,3173,283.643239836117
"03601",0,602,0
"03602",0,2277,0
"03603",9,5357,168.00448011947
"03604",0,117,0
"03605",0,809,0
"03607",0,338,0
"03608",10,3314,301.750150875075
"03609",0,560,0
"03740",0,762,0
"03741",5,4115,121.506682867558
"03743",48,13659,351.416648363716
"03745",0,1480,0
"03748",4,4769,83.8750262109457
"03750",0,1059,0
"03751",0,638,0
"03752",0,964,0
"03753",5,2878,173.731758165393
"03755",58,10466,554.175425186318
"03765",0,576,0
"03766",59,9643,611.842787514259
"03768",0,1713,0
"03770",0,460,0
"03771",0,939,0
"03773",27,7636,353.58826610791
"03774",0,1884,0
"03777",0,1372,0
"03779",0,817,0
"03780",0,586,0
"03781",0,2305,0
"03782",10,3013,331.895121141719
"03784",59,4126,1429.95637421231
"03785",16,2300,695.652173913043
"03801",345,22424,1538.53014627185
"03809",9,3830,234.986945169713
"03810",12,1501,799.467021985343
"03811",7,7014,99.8003992015968
"03812",7,485,1443.29896907216
"03813",3,3044,98.5545335085414
"03814",8,2201,363.47114947751
"03816",3,1206,248.756218905473
"03817",0,976,0
"03818",20,4127,484.613520717228
"03819",0,4520,0
"03820",196,32046,611.620795107034
"03823",0,2121,0
"03824",52,16476,315.610585093469
"03825",23,9293,247.498116862154
"03826",16,1952,819.672131147541
"03827",4,3065,130.505709624796
"03830",0,1567,0
"03832",0,291,0
"03833",115,21901,525.090178530661
"03835",10,6952,143.843498273878
"03836",0,1304,0
"03837",0,1736,0
"03838",3,1191,251.889168765743
"03839",7,4022,174.042764793635
"03840",19,4038,470.529965329371
"03841",17,6798,250.073551044425
"03842",120,15787,760.119085323367
"03844",4,2222,180.01800180018
"03845",3,1213,247.320692497939
"03846",11,979,1123.59550561798
"03847",0,376,0
"03848",33,6330,521.327014218009
"03849",4,1701,235.155790711346
"03850",0,198,0
"03851",7,4230,165.48463356974
"03852",0,416,0
"03853",0,673,0
"03854",3,863,347.624565469293
"03855",0,2801,0
"03856",3,1984,151.209677419355
"03857",38,9161,414.801877524288
"03858",0,4930,0
"03860",102,4061,2511.69662644669
"03861",3,4524,66.3129973474801
"03862",32,4497,711.585501445408
"03864",5,2080,240.384615384615
"03865",46,7724,595.546349041947
"03867",119,21739,547.403284419706
"03868",7,5544,126.262626262626
"03869",3,2527,118.717847249703
"03870",16,5299,301.943762974146
"03871",4,179,2234.63687150838
"03872",15,3875,387.096774193548
"03873",0,6328,0
"03874",66,8982,734.802939211757
"03875",0,832,0
"03878",49,12085,405.461315680596
"03882",0,1647,0
"03883",0,282,0
"03884",0,4023,0
"03885",26,7430,349.932705248991
"03886",4,1718,232.828870779977
"03887",0,1779,0
"03890",8,64,12500
"03894",60,6289,954.046748290666
"03897",,,
"03901",4,7930,50.4413619167718
"03902",8,1928,414.9377593361
"03903",12,6767,177.331165952416
"03904",77,8068,954.387704511651
"03905",6,1717,349.44670937682
"03906",7,4589,152.538679450861
"03907",63,1137,5540.89709762533
"03908",16,7531,212.455185234365
"03909",64,10727,596.62533793232
"03910",13,418,3110.04784688995
"03911",0,61,0
"04001",0,2574,0
"04002",9,7596,118.483412322275
"04003",3,214,1401.8691588785
"04005",123,23464,524.207296283669
"04006",0,141,0
"04008",3,2780,107.913669064748
"04009",39,5335,731.021555763824
"04010",0,1691,0
"04011",145,20565,705.081449063944
"04015",13,3838,338.718082334549
"04017",0,515,0
"04019",0,42,0
"04020",7,1401,499.643112062812
"04021",16,6612,241.984271022384
"04022",0,1017,0
"04024",0,580,0
"04027",3,6324,47.438330170778
"04029",0,1830,0
"04030",5,2183,229.042601923958
"04032",62,8517,727.955852999883
"04037",15,3850,389.61038961039
"04038",48,17723,270.834508830333
"04039",24,7596,315.955766192733
"04040",3,3348,89.6057347670251
"04041",0,1886,0
"04042",4,4685,85.3788687299893
"04043",78,11536,676.144244105409
"04046",45,7965,564.971751412429
"04047",0,1733,0
