"ZCTA","policeviolence_harmonicmean_pop","policeviolence_harmonicmean_black"
"02379",7.75696003217309e-07,0
"02382",7.75696003217309e-07,0
"02420",4.11621882193187e-07,0
"02421",4.11621882193187e-07,0
"02445",1.82999124659764e-06,5.38255879066031e-06
"02446",1.82999124659764e-06,5.38255879066031e-06
"02451",4.11621882193187e-07,0
"02452",4.11621882193187e-07,0
"02453",4.11621882193187e-07,0
"02457",1.29491649790529e-06,8.11514202581176e-06
"02458",4.11621882193187e-07,0
"02459",4.11621882193187e-07,0
"02460",4.11621882193187e-07,0
"02461",1.5772957182705e-06,0
"02462",4.11621882193187e-07,0
"02464",4.11621882193187e-07,0
"02465",4.11621882193187e-07,0
"02466",4.11621882193187e-07,0
"02467",3.20391066640162e-06,3.9123951775882e-06
"02468",4.11621882193187e-07,0
"02472",4.11621882193187e-07,0
"02474",4.11621882193187e-07,0
"02476",4.11621882193187e-07,0
"02478",4.11621882193187e-07,0
"02481",1.29491649790529e-06,8.11514202581176e-06
"02482",1.29491649790529e-06,8.11514202581176e-06
"02492",1.29491649790529e-06,8.11514202581176e-06
"02493",4.11621882193187e-07,0
"02494",1.29491649790529e-06,8.11514202581176e-06
"02532",5.46218949160213e-07,0
"02534",0,0
"02535",0,0
"02536",0,0
"02537",0,0
"02538",7.75696003217309e-07,0
"02539",0,0
"02540",0,0
"02542",0,0
"02543",0,0
"02553",0,0
"02554",0,0
"02556",0,0
"02557",0,0
"02558",7.75696003217309e-07,0
"02559",0,0
"02561",0,0
"02562",0,0
"02563",0,0
"02564",0,0
"02568",0,0
"02571",7.75696003217309e-07,0
"02575",0,0
"02576",7.75696003217309e-07,0
"02584",0,0
"02601",0,0
"02630",0,0
"02631",0,0
"02632",0,0
"02633",0,0
"02635",0,0
"02637",0,0
"02638",0,0
"02639",0,0
"02641",0,0
"02642",0,0
"02643",0,0
"02644",0,0
"02645",0,0
"02646",0,0
"02647",0,0
"02648",0,0
"02649",0,0
"02650",0,0
"02652",0,0
"02653",0,0
"02655",0,0
"02657",0,0
"02659",0,0
"02660",0,0
"02663",0,0
"02664",0,0
"02666",0,0
"02667",0,0
"02668",0,0
"02670",0,0
"02671",0,0
"02672",0,0
"02673",0,0
"02675",0,0
"02702",1.06664889245439e-06,8.7252394299091e-06
"02703",1.06664889245439e-06,8.7252394299091e-06
"02713",0,0
"02715",1.06664889245439e-06,8.7252394299091e-06
"02717",1.06664889245439e-06,8.7252394299091e-06
"02718",1.06664889245439e-06,8.7252394299091e-06
"02719",1.06664889245439e-06,8.7252394299091e-06
"02720",2.85951702808724e-06,8.7252394299091e-06
"02721",1.06664889245439e-06,8.7252394299091e-06
"02723",1.06664889245439e-06,8.7252394299091e-06
"02724",3.32515173617463e-06,3.19442801269452e-05
"02725",1.06664889245439e-06,8.7252394299091e-06
"02726",1.06664889245439e-06,8.7252394299091e-06
"02738",7.75696003217309e-07,0
"02739",7.75696003217309e-07,0
"02740",1.06664889245439e-06,8.7252394299091e-06
"02743",1.06664889245439e-06,8.7252394299091e-06
"02744",1.06664889245439e-06,8.7252394299091e-06
"02745",1.06664889245439e-06,8.7252394299091e-06
"02746",1.06664889245439e-06,8.7252394299091e-06
"02747",1.06664889245439e-06,8.7252394299091e-06
"02748",1.06664889245439e-06,8.7252394299091e-06
"02760",1.06664889245439e-06,8.7252394299091e-06
"02762",1.29491649790529e-06,8.11514202581176e-06
"02763",1.06664889245439e-06,8.7252394299091e-06
"02764",1.06664889245439e-06,8.7252394299091e-06
"02766",1.06664889245439e-06,8.7252394299091e-06
"02767",1.06664889245439e-06,8.7252394299091e-06
"02769",1.06664889245439e-06,8.7252394299091e-06
"02770",7.75696003217309e-07,0
"02771",3.42701765168738e-06,8.7252394299091e-06
"02777",1.06664889245439e-06,8.7252394299091e-06
"02779",1.06664889245439e-06,8.7252394299091e-06
"02780",1.06664889245439e-06,8.7252394299091e-06
"02790",1.06664889245439e-06,8.7252394299091e-06
"02791",1.06664889245439e-06,8.7252394299091e-06
"02802",9.37218883967286e-07,3.26355310377114e-06
"02804",0,0
"02806",0,0
"02807",0,0
"02808",0,0
"02809",0,0
"02812",0,0
"02813",0,0
"02814",9.37218883967286e-07,3.26355310377114e-06
"02815",9.37218883967286e-07,3.26355310377114e-06
"02816",9.93523294097901e-07,3.11411656792459e-06
"02817",1.21153850209987e-06,0
"02818",1.21153850209987e-06,0
"02822",0,0
"02823",1.52209206775619e-06,0
"02824",1.52209206775619e-06,0
"02825",9.37218883967286e-07,3.26355310377114e-06
"02826",9.37218883967286e-07,3.26355310377114e-06
"02827",1.21153850209987e-06,0
"02828",9.37218883967286e-07,3.26355310377114e-06
"02829",1.52209206775619e-06,0
"02830",9.37218883967286e-07,3.26355310377114e-06
"02831",9.93523294097901e-07,3.11411656792459e-06
"02832",0,0
"02833",0,0
"02835",0,0
"02836",0,0
"02837",0,0
"02838",9.37218883967286e-07,3.26355310377114e-06
"02839",9.37218883967286e-07,3.26355310377114e-06
"02840",0,0
"02841",0,0
"02842",0,0
"02852",0,0
"02857",9.37218883967286e-07,3.26355310377114e-06
"02858",9.37218883967286e-07,3.26355310377114e-06
"02859",9.37218883967286e-07,3.26355310377114e-06
"02860",9.37218883967286e-07,3.26355310377114e-06
"02861",2.88743229615417e-06,1.64395456128192e-05
"02863",9.37218883967286e-07,3.26355310377114e-06
"02864",9.37218883967286e-07,3.26355310377114e-06
"02865",9.37218883967286e-07,3.26355310377114e-06
"02871",0,0
"02872",0,0
"02873",0,0
"02874",0,0
"02875",0,0
"02876",9.37218883967286e-07,3.26355310377114e-06
"02878",0,0
"02879",0,0
"02881",0,0
"02882",0,0
"02885",0,0
"02886",3.16672958463551e-06,0
"02888",1.21153850209987e-06,0
"02889",1.21153850209987e-06,0
"02891",0,0
"02892",0,0
"02893",1.21153850209987e-06,0
"02894",0,0
"02895",9.37218883967286e-07,3.26355310377114e-06
"02896",9.37218883967286e-07,3.26355310377114e-06
"02898",0,0
"02903",3.23651144766695e-06,3.26355310377114e-06
"02904",9.37218883967286e-07,3.26355310377114e-06
"02905",9.37218883967286e-07,3.26355310377114e-06
"02906",2.69370498150959e-06,3.26355310377114e-06
"02907",9.37218883967286e-07,3.26355310377114e-06
"02908",9.37218883967286e-07,3.26355310377114e-06
"02909",9.37218883967286e-07,3.26355310377114e-06
"02910",9.37218883967286e-07,3.26355310377114e-06
"02911",9.37218883967286e-07,3.26355310377114e-06
"02912",9.37218883967286e-07,3.26355310377114e-06
"02914",9.37218883967286e-07,3.26355310377114e-06
"02915",9.37218883967286e-07,3.26355310377114e-06
"02916",9.37218883967286e-07,3.26355310377114e-06
"02917",9.37218883967286e-07,3.26355310377114e-06
