"ZCTA","Post.Office.Name","State","mortality_allcausemortalityrate_pop"
"85364","Yuma","AZ",0.00555867797851563
"85365","Yuma","AZ",0.00568175659179688
"85367","Yuma","AZ",0.005935146484375
"85371","Poston","AZ",0.00838921020507813
"85373","Sun City","AZ",0.00642024841308594
"85374","Surprise","AZ",0.00633529663085937
"85375","Sun City West","AZ",0.00650577087402344
"85377","Carefree","AZ",0.00650890014648437
"85379","Surprise","AZ",0.00618961853027344
"85381","Peoria","AZ",0.00619657653808594
"85382","Peoria","AZ",0.00628552429199219
"85383","Peoria","AZ",0.00627101745605469
"85387","Surprise","AZ",0.00647259216308594
"85388","Surprise","AZ",0.00629065673828125
"85936","Saint Johns","AZ",0.00841882568359375
"85390","Wickenburg","AZ",0.00634154663085938
"85392","Avondale","AZ",0.00612478210449219
"85395","Goodyear","AZ",0.00610932006835938
"85396","Buckeye","AZ",0.00637223266601562
"85501","Globe","AZ",0.00841700500488281
"85530","Bylas","AZ",0.00829467346191406
"85531","Central","AZ",0.00730459838867187
"85937","Snowflake","AZ",0.00708779296875
"85938","Springerville","AZ",0.00826833984375
"85939","Taylor","AZ",0.00685395874023437
"85940","Vernon","AZ",0.00847227966308594
"85941","Whiteriver","AZ",0.0104581127929688
"85942","Woodruff","AZ",0.00633213562011719
"86001","Flagstaff","AZ",0.00617839233398438
"86003","Flagstaff","AZ",0.00897487915039063
"86004","Flagstaff","AZ",0.00626274963378906
"85533","Clifton","AZ",0.00616646118164063
"85534","Duncan","AZ",0.00648877075195313
"85535","Eden","AZ",0.00744813659667969
"85536","Fort Thomas","AZ",0.00744813659667969
"85539","Claypool","AZ",0.00814861511230469
"85540","Morenci","AZ",0.00591705871582031
"85541","Payson","AZ",0.00846843444824219
"85542","Peridot","AZ",0.00924302001953125
"85543","Pima","AZ",0.0073562744140625
"85544","Pine","AZ",0.00863917053222656
"85545","Roosevelt","AZ",0.00825746887207031
"85546","Safford","AZ",0.00719983154296875
"85550","San Carlos","AZ",0.0144636547851563
"85551","Solomon","AZ",0.00692619384765625
"85552","Thatcher","AZ",0.00733161254882812
"85553","Tonto Basin","AZ",0.00830309387207031
"85554","Young","AZ",0.00852243530273438
"85601","Arivaca","AZ",0.00689353698730469
"85602","Benson","AZ",0.00745557800292969
"85603","Bisbee","AZ",0.00742530334472656
"85605","Bowie","AZ",0.00713835388183594
"85606","Cochise","AZ",0.00739628845214844
"85607","Douglas","AZ",0.00695520874023437
"85608","Douglas","AZ",0.00700685241699219
"85609","Dragoon","AZ",0.00772330200195312
"85610","Elfrida","AZ",0.00756180603027344
"85611","Elgin","AZ",0.00593038635253906
"85613","Fort Huachuca","AZ",0.00685273498535156
"85614","Green Valley","AZ",0.00679557495117188
"85615","Hereford","AZ",0.00760104431152344
"85616","Huachuca City","AZ",0.00698654235839844
"85617","Mc Neal","AZ",0.00729170043945312
"85618","Mammoth","AZ",0.0054188232421875
"85619","Mount Lemmon","AZ",0.00681686889648437
"85620","Naco","AZ",0.00736963073730469
"85621","Nogales","AZ",0.00544453125
"85622","Green Valley","AZ",0.0069366064453125
"86411","Hackberry","AZ",0.00881503540039063
"86413","Golden Valley","AZ",0.00840369445800781
"86426","Fort Mohave","AZ",0.00826285949707031
"86429","Bullhead City","AZ",0.00854953918457031
"86431","Chloride","AZ",0.00869678344726563
"86432","Littlefield","AZ",0.00830610778808594
"86433","Oatman","AZ",0.00779904357910156
"86434","Peach Springs","AZ",0.00867024353027344
"86435","Supai","AZ",0.00669550354003906
"86436","Topock","AZ",0.009070361328125
"86437","Valentine","AZ",0.00904244262695312
"86438","Yucca","AZ",0.00807684265136719
"86440","Mohave Valley","AZ",0.00815263854980469
"86441","Dolan Springs","AZ",0.00865677673339844
"86442","Bullhead City","AZ",0.00808435302734375
"86443","Temple Bar Marina","AZ",0.00859409118652344
"86444","Meadview","AZ",0.00875105163574219
"86445","Willow Beach","AZ",0.00859409118652344
"86502","Chambers","AZ",0.0101083850097656
"86503","Chinle","AZ",0.0100449890136719
"86505","Ganado","AZ",0.0101070098876953
"86506","Houck","AZ",0.0100325231933594
"86507","Lukachukai","AZ",0.0101429486083984
"86508","Lupton","AZ",0.00975813354492188
"86510","Pinon","AZ",0.00978901489257812
"86511","Saint Michaels","AZ",0.0101245867919922
"86512","Sanders","AZ",0.0101049865722656
"86520","Blue Gap","AZ",0.0101570477294922
"86535","Dennehotso","AZ",0.0102663952636719
"86538","Many Farms","AZ",0.0102879504394531
"86540","Nazlini","AZ",0.010174814453125
"86544","Red Valley","AZ",0.0102777819824219
"86545","Rock Point","AZ",0.0103032946777344
"86547","Round Rock","AZ",0.0103493334960937
"86556","Tsaile","AZ",0.0100093353271484
"86044","Tonalea","AZ",0.00934387451171875
"86514","Teec Nos Pos","AZ",0.0102618420410156
"86035","Leupp","AZ",0.00896043823242187
"86036","Marble Canyon","AZ",0.00704321960449219
"86038","Mormon Lake","AZ",0.0069157373046875
"86039","Kykotsmovi Village","AZ",0.00989775756835938
"86040","Page","AZ",0.00783363342285156
"86042","Polacca","AZ",0.00992039672851562
"86043","Second Mesa","AZ",0.0099018701171875
"86045","Tuba City","AZ",0.00899178527832031
"86046","Williams","AZ",0.00603812866210938
"85623","Oracle","AZ",0.00555033813476563
"86047","Winslow","AZ",0.00747151550292969
"86052","North Rim","AZ",0.00618412780761719
"86053","Kaibeto","AZ",0.00915278015136719
"86054","Shonto","AZ",0.00983515502929688
"86301","Prescott","AZ",0.00710898620605469
"86303","Prescott","AZ",0.007235849609375
"86305","Prescott","AZ",0.00711256896972656
"86313","Prescott","AZ",0.00698808654785156
"86314","Prescott Valley","AZ",0.00684757263183594
"86315","Prescott Valley","AZ",0.00722881286621094
"86320","Ash Fork","AZ",0.00627299194335938
"86321","Bagdad","AZ",0.00691694213867187
"86322","Camp Verde","AZ",0.00688584167480469
"86323","Chino Valley","AZ",0.007093505859375
"85335","El Mirage","AZ",0.00606844909667969
"85336","Gadsden","AZ",0.00538496215820313
"85337","Gila Bend","AZ",0.00584697631835937
"85338","Goodyear","AZ",0.00614552978515625
"85339","Laveen","AZ",0.00605541625976562
"86324","Clarkdale","AZ",0.00694208129882812
"86325","Cornville","AZ",0.007119619140625
"86326","Cottonwood","AZ",0.00674890319824219
"86327","Dewey","AZ",0.00705221618652344
"86329","Humboldt","AZ",0.00700745422363281
"86331","Jerome","AZ",0.00735409118652344
"86332","Kirkland","AZ",0.00705170349121094
"86333","Mayer","AZ",0.00707198120117187
"86334","Paulden","AZ",0.00679430480957031
"86335","Rimrock","AZ",0.00700213500976563
"86336","Sedona","AZ",0.00676894714355469
"86337","Seligman","AZ",0.00666339965820313
"86338","Skull Valley","AZ",0.0070970947265625
"86343","Crown King","AZ",0.0070266015625
"86351","Sedona","AZ",0.00711979309082031
"86401","Kingman","AZ",0.00853497985839844
"86403","Lake Havasu City","AZ",0.00849873962402344
"86404","Lake Havasu City","AZ",0.00864277526855469
"85340","Litchfield Park","AZ",0.006145146484375
"85341","Lukeville","AZ",0
"85342","Morristown","AZ",0.00629766540527344
"85343","Palo Verde","AZ",0.00608591552734375
"85344","Parker","AZ",0.00785875610351562
"85345","Peoria","AZ",0.00611888244628906
"85346","Quartzsite","AZ",0.00828297424316406
"85347","Roll","AZ",0.00566459350585938
"85348","Salome","AZ",0.00781411499023437
"85349","San Luis","AZ",0.00532946838378906
"86406","Lake Havasu City","AZ",0.00866694458007813
"86409","Kingman","AZ",0.00858992980957031
"85350","Somerton","AZ",0.00544927612304688
"85351","Sun City","AZ",0.00649132446289062
"85352","Tacna","AZ",0.005697529296875
"85353","Tolleson","AZ",0.00588132507324219
"85354","Tonopah","AZ",0.00618351379394531
"85355","Waddell","AZ",0.00622198608398437
"85356","Wellton","AZ",0.00566777954101563
"85357","Wenden","AZ",0.00702297058105469
"86011","Flagstaff","AZ",0.00600449340820312
"86015","Bellemont","AZ",0.00712958984375
"86016","Gray Mountain","AZ",0.008846513671875
"86017","Munds Park","AZ",0.00589664611816406
"86018","Parks","AZ",0.00572571472167969
"86020","Cameron","AZ",0.00902430541992187
"86021","Colorado City","AZ",0.00922109924316406
"86022","Fredonia","AZ",0.00725995544433594
"86023","Grand Canyon","AZ",0.0065975732421875
"86024","Happy Jack","AZ",0.00571373718261719
"86025","Holbrook","AZ",0.00680840637207031
"86028","Petrified Forest Natl Pk","AZ",0.00802953552246094
"86029","Sun Valley","AZ",0.00634813537597656
"86030","Hotevilla","AZ",0.00991066528320312
"86031","Indian Wells","AZ",0.00997306701660156
"86032","Joseph City","AZ",0.00636814636230469
"86033","Kayenta","AZ",0.0097953564453125
"86034","Keams Canyon","AZ",0.00980829284667969
"85624","Patagonia","AZ",0.00529899597167969
"85625","Pearce","AZ",0.00731088195800781
"85626","Pirtleville","AZ",0.00708887145996094
"85627","Pomerene","AZ",0.00773334045410156
"85629","Sahuarita","AZ",0.00657201721191406
"85630","Saint David","AZ",0.00770541320800781
"85631","San Manuel","AZ",0.0055643212890625
"85632","San Simon","AZ",0.00730597839355469
"85633","Sasabe","AZ",0.00689353698730469
"85634","Sells","AZ",0.00711639953613281
"85635","Sierra Vista","AZ",0.00692567565917969
"85637","Sonoita","AZ",0.00586822509765625
"85638","Tombstone","AZ",0.00744125122070313
"85640","Tumacacori","AZ",0.00540953247070312
"85641","Vail","AZ",0.00662616333007812
"85643","Willcox","AZ",0.00721851257324219
"85645","Amado","AZ",0.00638598693847656
"85646","Tubac","AZ",0.00547058898925781
"85648","Rio Rico","AZ",0.00550345581054688
"85650","Sierra Vista","AZ",0.0072697900390625
"85653","Marana","AZ",0.00663887145996094
"85654","Rillito","AZ",0.006685732421875
"85658","Marana","AZ",0.00644235107421875
"85701","Tucson","AZ",0.006554638671875
